Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"25,225",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:773,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"1,863,358",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:773,,Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"1,303,038",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:773,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"560,320",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:773,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"1,070,455",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:773,,Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"11,193",o/w Inspection,2017/18 Draft Estimates,Vote:773,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"49,028",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:773,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"1,010,234",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:773,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:773,,Programme  08 Natural Resources
Recurrent Budget Estimates,IGANGA Municipal Council,Central Government,"11,268",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:773,,Programme  09 Community Based Services
Development Budget Estimates,IGANGA Municipal Council,Central Government,"75,733",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:773,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,IGANGA Municipal Council,Central Government,"161,450",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:773,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,IGANGA Municipal Council,Central Government,"36,724",o/w Central Division,2017/18 Draft Estimates,Vote:773,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,IGANGA Municipal Council,Central Government,"31,440",o/w Northern Division,2017/18 Draft Estimates,Vote:773,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"125,199",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"164,577",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"400,847",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:774,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"85,200",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:774,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:774,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"4,441",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:774,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"275,993",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:774,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"577,503",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"65,196",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,0,321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:774,,Programme  01 Administration
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"64,461",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:774,,Programme  04 Production and Marketing
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"16,911",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  04 Production and Marketing
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"343,656",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:774,,Programme  05 Health
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"343,656",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:774,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"31,883",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  05 Health
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"31,883",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:774,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"3,687,406",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:774,,Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"2,422,048",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:774,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"1,109,114",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:774,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"156,244",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:774,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"969,204",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"17,251",o/w Inspection,2017/18 Draft Estimates,Vote:774,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"142,282",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:774,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"809,671",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:774,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  08 Natural Resources
Recurrent Budget Estimates,MASINDI Municipal Council,Central Government,"25,903",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:774,,Programme  09 Community Based Services
Development Budget Estimates,MASINDI Municipal Council,Central Government,"101,609",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:774,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,MASINDI Municipal Council,Central Government,"248,636",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:774,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"45,545",o/w Central Division,2017/18 Draft Estimates,Vote:774,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"33,249",o/w Karujubu Division,2017/18 Draft Estimates,Vote:774,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"18,830",o/w Kigulya Division,2017/18 Draft Estimates,Vote:774,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"19,096",o/w Nyangahya Division,2017/18 Draft Estimates,Vote:774,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"150,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:774,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,MASINDI Municipal Council,Central Government,"150,000",o/w Support towards implementation of a Strategic Urban Development Plan,2017/18 Draft Estimates,Vote:774,321472  Transitional Development Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"60,875",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"83,071",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"229,430",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:775,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"60,240",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:775,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:775,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"1,053",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:775,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"132,925",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:775,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"380,611",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"6,995",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"215,837",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:775,,Programme  01 Administration
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"26,045",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:775,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"8,048",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"293,344",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:775,,Programme  05 Health
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"293,344",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:775,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"37,078",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  05 Health
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"37,078",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:775,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"743,783",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:775,,Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"487,656",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:775,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"256,127",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:775,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"208,485",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"10,519",o/w Inspection,2017/18 Draft Estimates,Vote:775,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"31,804",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:775,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"166,162",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:775,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  08 Natural Resources
Recurrent Budget Estimates,NTUNGAMO Municipal Council,Central Government,"6,016",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:775,,Programme  09 Community Based Services
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"51,736",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:775,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"94,604",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:775,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"16,879",o/w Central Division,2017/18 Draft Estimates,Vote:775,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"13,353",o/w Eastern Division,2017/18 Draft Estimates,Vote:775,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"12,513",o/w Western Division,2017/18 Draft Estimates,Vote:775,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"400,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:775,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTUNGAMO Municipal Council,Central Government,"400,000","o/w Funding for Sanitation Improvement in Schools, Storm Water Management and Street Lig",2017/18 Draft Estimates,Vote:775,321472  Transitional Development Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"39,553",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"84,883",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"290,378",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:776,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"66,240",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:776,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:776,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"1,963",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:776,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"186,963",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:776,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"459,034",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"8,128",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"223,597",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:776,,Programme  01 Administration
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"34,168",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:776,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"12,626",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"287,319",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:776,,Programme  05 Health
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"287,319",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:776,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"35,582",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  05 Health
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"35,582",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:776,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"1,348,147",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:776,,Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"1,132,297",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:776,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"215,850",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:776,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"553,906",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"10,968",o/w Inspection,2017/18 Draft Estimates,Vote:776,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"79,837",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:776,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"463,100",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:776,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  08 Natural Resources
Recurrent Budget Estimates,BUSIA Municipal Council,Central Government,"15,747",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:776,,Programme  09 Community Based Services
Development Budget Estimates,BUSIA Municipal Council,Central Government,"75,602",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:776,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,BUSIA Municipal Council,Central Government,"166,482",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:776,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUSIA Municipal Council,Central Government,"39,741",o/w Eastern Division,2017/18 Draft Estimates,Vote:776,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUSIA Municipal Council,Central Government,"30,687",o/w Western Division,2017/18 Draft Estimates,Vote:776,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"153,407",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"274,299",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"329,546",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:777,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"100,560",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:777,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:777,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"3,810",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:777,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"189,964",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:777,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"474,509",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"68,228",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"139,916",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:777,,Programme  01 Administration
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"25,000",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:777,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"10,482",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  04 Production and Marketing
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"367,937",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:777,,Programme  05 Health
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"367,937",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:777,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"16,812",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  05 Health
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"16,812",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:777,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"3,480,930",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:777,,Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"1,636,098",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:777,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"1,468,201",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:777,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"376,630",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:777,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"260,043",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"14,558",o/w Inspection,2017/18 Draft Estimates,Vote:777,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"89,673",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:777,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"155,812",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:777,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  08 Natural Resources
Recurrent Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"10,190",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:777,,Programme  09 Community Based Services
Development Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"67,599",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:777,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"132,413",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:777,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"23,118",o/w Central Division,2017/18 Draft Estimates,Vote:777,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
