columnType,budgetType,value,year,vote,sp_pj,page,programme
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Development Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
GoU Dev't,Development Budget Estimates,"514,360",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
External Fin,Development Budget Estimates,"4,357,930",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"134,483",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"2,180,761",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"2,315,244",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"134,483",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"1,882,950",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 01 Executive Office,139,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"12,202",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"165,185",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"177,387",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"12,024",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"155,233",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 08 General Duties,140,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"46,883",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"3,496,019",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"3,542,902",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"46,883",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"3,235,383",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 09 Government Chief Whip,141,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"347,448",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"2,375,538",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"2,722,986",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 14 Information and National Guidance,143,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"155,047",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"3,748,208",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"3,903,255",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"155,047",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"3,522,378",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 16 Monitoring and Evaluation,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"105,836",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"697,062",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"802,898",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"105,836",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"655,063",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 17 Policy Implementation and Coordination,144,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"29,721",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"400,227",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"429,948",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"29,721",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"376,113",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 20  2nd Deputy Prime Minister/Deputy Leader of Govt Busniess,145,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"426,202",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"2,000,000",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Total,Recurrent Budget Estimates,"2,426,202",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Wage,Recurrent Budget Estimates,"426,380",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
Non Wage,Recurrent Budget Estimates,"1,879,500",2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,146,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
GoU Dev't,Development Budget Estimates,"426,202",2016/17 Approved Budget,Vote:003 Office of the Prime Minister,SubProgramme 24 Prime Minister's Delivery Unit,148,"Programmme 01  Strategic Coordination, Monitoring and Evaluation"
