@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_2014,value_2015,value_2016
W0_S1_G1,A,A|SB|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SB,S1311B,P1Y,XDC,6,GFSR,4133.97226223,4375.37147153,3952.70182196
W0_S1_G1,A,A|CZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CZ,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|KE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KE,S1311B,P1Y,XDC,9,GFSR,999.75646363335,1133.18215631128,1262.72031716659
W0_S1_G1,A,A|ML|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ML,S1311B,P1Y,XDC,9,GFSR,1031.5,1274.783090983,1491.8
W0_S1_G1,A,A|IE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IE,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|SK|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SK,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|LA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LA,S1311B,P1Y,XDC,9,GFSR,22356.08,23857.87,20920.1538625199
W0_S1_G1,A,A|MV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MV,S1311B,P1Y,XDC,6,GFSR,14750.705975,,
W0_S1_G1,A,A|BH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BH,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|CN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CN,S1311B,P1Y,XDC,9,GFSR,6938.487,7440.37669,
