@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G1,A,A|AO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AO,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,7.213399391,48.38905391,82.063850468,177.13,393.108,544.974,787.06,1940.82,2252.18,2834.56,1241,2695.15,4682.61,4428.54,4711.39,4423.85918207284,2619.39661366396,2601.71894631449,
W0_S1_G1,A,A|JO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,JO,S1311B,P1Y,XDC,6,GFSR,861.83,990.42,1246.36,1282.31,1337.07,1513.88,1583.93,1516.77,1593.53,1727.23,1743.64,1820.89,1943.03,2364.17,2754.615099,3064,3468.99,3971.5,4738.4,4521.2,4662.7,5413.9,5054.3,5758.8,7267.6,6796.3,7069.6,
W0_S1_G1,A,A|BR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BR,S1311B,P1Y,XDC,9,GFSR,0.00130905454545454,0.0059484,0.0600204727272727,1.76105454545455,53.5989,,,107.1718,133.4622,,,,,,,,,,,,1030.15050692108,1161.63627729526,1290.12848799206,1376.98470031213,1410.4889029219,1578.16231418705,1675.08975032166,
W0_S1_G1,A,A|MU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MU,S1311B,P1Y,XDC,6,GFSR,8415.9,9536.6,10488.6,11289.2,12865.5,13017.8,12723,16347.3,18364,20678,22912,22632.7,25101.2,30096.1,33524.5,35636.4,38997.9,42140.1,53198.4,63342.8,66672.1,70432.4,75046.9,79753,81226.1,40944.2,89945.597,
W0_S1_G1,A,A|CO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CO,S1311B,P1Y,XDC,9,GFSR,3205.1,3679.9,4586,6492.1,7701,9524,12048,15283,16726.978304,18926.6708022764,22680.3860093948,34306.8,34475.8,49093.341194,60746.535797,63285.679464,83584.7143210001,103985.795155,74157.769,79016.292,82318.721,106030.675,148185.164,153629.92424,158059.21376,148879.530172,170606.080399025,
W0_S1_G1,A,,,CS,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|PH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PH,S1311B,P1Y,XDC,9,GFSR,176.72,216.612,240.836,258.728,306.246,338.391,404.789,462.415,460.798,474.319,518.423,572.801,580.288,641.75,708.97,815.6,975.438,1047.487,1172.793,1123.091,1207.959,1359.51,1526.818,1713.379,1906.699,2046.755,2195.746,
W0_S1_G1,A,A|UY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,UY,S1311B,P1Y,XDC,6,GFSR,1719,3666,6687,10024,15087,21141,28798,38128,45221,45196,46842,48867.722,52788.00293384,64520.501549378,76519.443,82343.343,95260.6132618989,107646.648078377,123170.680694046,,,,,,,,,
W0_S1_G1,A,A|RU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RU,S1311B,P1Y,XDC,9,GFSR,,,,,76.511,203.554,,,299.135,615.407,1129.874,1590.207,2220.92,2579.9068116,3410.3884311,5125.803,6276.8,8614.2,11682.6,7592,9095.4,13426.9,13996.6,13637.8,15297.1083466799,13947.3525360982,13011.526,
W0_S1_G1,A,A|PL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PL,S1311B,P1Y,XDC,6,GFSR,,,,,61614,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|AE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AE,S1311B,P1Y,XDC,6,GFSR,,,,,,,,18996,19212,20217,,,,,,,,,,,,40799.07534881,41590.71249115,45947.39971,45221.4478215,46116.04239425,47475.95692535,
W0_S1_G1,A,A|MG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MG,S1311B,P1Y,XDC,9,GFSR,93.12,70.76,100.72,111.2,149.7,229.74,,,,,,,,,,,,,3257.7,1842.153283,2405.232585,2465.697,2508.1336,2778.1006,3254.6022,3481.612,4761.29463822116,
W0_S1_G1,A,A|PE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PE,S1311B,P1Y,XDC,6,GFSR,613.86,3172.68,5971.04,9303.53,14825.29,18720.2,22408.2,25578.5,26975.6,26284.5,28435.6,27564.1,29174.8,32246.3,35899.5,41775.8,53032.8172511106,61662.6424539385,68245.235635185,61255.3578940219,76011.7392964067,89049.5647269221,98135.0019355331,104705.043986297,110356.236977139,102665.110666513,101475.283308899,
W0_S1_G1,A,,,VE,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|SC|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SC,S1311B,P1Y,XDC,6,GFSR,,,,1125.7,1012.4,887,965.9,1072.8,1232.3,1293.8,,,,,,2110.73219705,2334.342,2176.56022025,3187.952865,3790.35121578,3945.86026953,4825.53695415,5443.27918481,5466.966898,5932.44565943,6349.00565548,7162.09239081,
W0_S1_G1,A,A|LR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LR,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,82344.45545,85473.326,148341.219,206891.52,,285976.7231,359947.916,458931.6396,517197.0192,,,,
W0_S1_G1,A,A|KR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KR,S1311B,P1Y,XDC,12,GFSR,29.038,32.984,38.869,43.741,52.141,62.536,70.914,77.042,77.777706,86.648041,105.927214,107.917548,117.483172,126.423788,129.13821,137.235,148.9066,,,,,,328.674,332.923,338.934334894805,353.546495271992,387.221825100828,
W0_S1_G1,A,A|RW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RW,S1311B,P1Y,XDC,9,GFSR,20.961,24.102,26.589,,,,,,,,,,,,,,,,626.198903927,724.3062816489,827.1133471443,982.062,,,1338.82864767587,1406.08432414829,1501.40131337972,1567.87405038014
W0_S1_G1,A,A|FM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,FM,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,61813.769,89227.366,104235.881,102636.791,118942.579,100255.359,114060.6,110403.804,128154.041,
W0_S1_G1,A,A|NI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NI,S1311B,P1Y,XDC,6,GFSR,51.58,2292.87,2284.21,2977.72,3078,4259.05,4761.24,5456.76,6561.24,8665.2,9411.31,9357,10085.6123,12230.0928,14604.4182,17431,21205,24490.8985,27041.89734,26938.73079412,30408.972,37695.7696,43748.172262,46700.954,53730.955,61470.25,70328,
W0_S1_G1,A,A|NA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NA,S1311B,P1Y,XDC,6,GFSR,2007.1,2637.6,2928.9,3094.7,3649.2,4073.6,4661.8,5645.7,6132.1,7253.3,8211.09677116,8889.52045016,10468.15445016,9740.66905016,11331.19645016,13075.30850466,17576.01621016,20669.55108762,23426.82308762,24009.31072508,23370.38072508,29917.31116987,37993.11175987,42355.25582442,49953.63438521,52214.85301869,50999.7478,
W0_S1_G1,A,A|NO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NO,S1311B,P1Y,XDC,9,GFSR,283.208,292.229,284.544,287.281,303.418,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|CG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CG,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,630.3,642.5,613.5,866.821737232,1302.18866155,1839.7,1612.292,2678.006,1378.22,3609.98,2887.111999496,2979.345676443,3157,2831.8,1503.2,1290.8,
