@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G13,A,A|MH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,MH,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,67804.198,66905.626,68186.219,65471.436,59192.348,62138.039,53852.783,58749.136,59077.078,
W0_S1_G13,A,A|IN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,IN,S1311B,P1Y,XDC,9,GFSR,5.86,9.47,9.19,9.93,10.38,11.38,11.9,10.18,9.87,11.07,8.14,17.52,18.68,21.59,25.62,30.23,25.3,27.22,27.94,31.41,26.72,29.62,28.87,14.56,,,,
W0_S1_G13,A,A|TZ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,TZ,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,2393.256358,2393.256358,2322.8572335,2064.240809,3132.449425,1472.98792418997,2677.611039,480.809,
W0_S1_G13,A,A|EE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,EE,S1311B,P1Y,XDC,6,GFSR,,0.952283563202229,11.2995794613526,15.5752687484821,0,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|GT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,GT,S1311B,P1Y,XDC,6,GFSR,84.8,16.01,266.98,18.32,74.48,39.16,53.7,55.33,92.93,188.16,348.53,565.73,414.87,377.11,312.06,359.89,370,419.7,362.9,489.65111327,417.45443266,571.99451002,407.00240376,385.3725566,179.26556892,124.55862321,67.85966338,
W0_S1_G13,A,A|DO|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,DO,S1311B,P1Y,XDC,9,GFSR,0.05,0.1621,0.2306,0.3987,0.3012,0.1519,0.2125,0.1246,0.3834,0.4244,0.4362,0.416392,0.515668333333333,0.925884401475857,3.42701505538067,3.27785985961615,3.7190067633107,5.86634432680333,2.91368997410334,3.49257468339699,4.50038686297352,5.33388217540826,4.920415299,3.07639858034,5.16243321208,2.68204554252,1.0236856548,
W0_S1_G13,A,A|HK|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,HK,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|IT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,IT,S1311B,P1Y,XDC,9,GFSR,0.262876561636549,0.280952553104681,1.58603913710381,5.49045329422033,1.76008511209697,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|MW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,MW,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,75.979745109,78.448477749,64.329074571,42.814543142,175.765122097203,73.6893448189345,79.39159543072,130.99683357439,
W0_S1_G13,A,A|NA|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,NA,S1311B,P1Y,XDC,6,GFSR,101.1,67.8,73.5,54.9,38.4,44.9,50.3,54,37.4,68.4,43.695,58.1,34.446,34.246,70.45,39.0409,49.584058,78.034,82.88265634,200.76474446,23.5157,178.74404918,168.44819948,278.05053415,110.33354395,151.60963443,159.297,
W0_S1_G13,A,,,SD,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|ES|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,ES,S1311B,P1Y,XDC,9,GFSR,1.35528229538543,1.26933756445855,1.14492805885111,1.34867116223721,1.08723089683026,4.108,3.873,4.763,5.738,6.147,5.579,5.903,5.297,4.979,5.545,4.962,4.849,5.82,5.909,4.324,9.777,23.251,34.664,12.421,11.931,14.645,11.36,
W0_S1_G13,A,A|PH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,PH,S1311B,P1Y,XDC,9,GFSR,2.556,3.189,2.144,1.551,0.734,0.988,0.569,1.738,0.396,0.292,1.376,1.991,1.052,1.2,0.07,0.09,0.183,0.15,0.125,0.191,0.406,0.3,0.099,0.321,0.233,0.164,0.078,
W0_S1_G13,A,A|KH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,KH,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,641.86246,381.68187010704,392.38610835,646.5082,474.707572561,753.802,945.519072432,1860.806106669,2373.76673451234,1858.8858472068,3246.6576,2542.1272,1728.25654284491,1507.51845786118,2008.95498785809,
W0_S1_G13,A,A|UA|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,UA,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,258.8,1423.7,2748.9,3234.5218,2581.19587678,2011,1645.8,1729.4,4456.2,7836.272,8414.4,6930.4,3200,1565.155,3138.557451,7501,4944.3,8280.9,
W0_S1_G13,A,A|ST|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,ST,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,132.23943,179.45238102416,202.57489754302,204.398233428707,264.221166729624,2478.75156927292,780.448202657046,465.993537032336,751.782769968854,977.281896866164,841.351,,,,,
W0_S1_G13,A,,,TJ,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|NP|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,NP,S1311B,P1Y,XDC,6,GFSR,1828.6,2165,1644,3793,2394,3937,4825,5988,5403,4337,5712,6753,6686,11339.1,11283.4,14391.2,13827.498,15800.8,20320.7,26382.9,38545.971,49327.435,40810.281,35229.805,42205.766,38174.309,39543.955,
W0_S1_G13,A,A|BZ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BZ,S1311B,P1Y,XDC,6,GFSR,13,12.836,9.848,6.953,13.264,1.079,4.076,8.57,18.651,13.678,23.842,18.212,18.983,23.713,14.863,27.638,36.815,65.263,67.046,33.663,12.13,42.536,21.342,71.957,39.167,,,
W0_S1_G13,A,A|TN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,TN,S1311B,P1Y,XDC,6,GFSR,70.5,32.5,56.7,53.3,63.4,44.6,42.3,96,108.7,83.1,34.2,78.6,118.1,76.8,72.6,69.8,48.3,37.5,191.5,177.6,54.1,207.9,741.6,,,,,
W0_S1_G13,A,A|TG|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,TG,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,7.8459,0,15.986470015,20.3856264,29.3,64.884309939,62.256757841,84.6,40.692338229,73.5105,,57.237662789,75.6005035,
W0_S1_G13,A,A|CH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CH,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|MT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,MT,S1311B,P1Y,XDC,6,GFSR,17.8895877009085,38.1318425343583,38.1784300023294,19.6366177498253,29.9324481714419,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|FJ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,FJ,S1311B,P1Y,XDC,6,GFSR,8.68,11.21,10.78,8.31,4.46,6.27,7.34,,,,,,,,22.7,7.14,6.3996015,,,,16.79082896,21.32946558,19.79290179,28.86826976,118.57183191,167.43601656,,
W0_S1_G13,A,A|FM|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,FM,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,27641.462,53377.069,68032.757,65188.252,71475.397,43827.565,22464.999,20603.536,37964.782,
W0_S1_G13,A,A|GB|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,GB,S1311B,P1Y,XDC,9,GFSR,,,,,,0.025,0.013,0.006,0.007,0.005,0,0.008,0.013,0.01,1.254,1.333,0.618,0.81,0.493,0.144,0.127,0.181,13.601,0.356,0.428,1.192,0.359,
W0_S1_G13,A,A|SY|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,SY,S1311B,P1Y,XDC,6,GFSR,763,9995,6250,2864,1264,896,1788,,100,0,37,0,0,0,0,0,0,259,0,1,,,,,,,,
W0_S1_G13,A,A|MU|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,MU,S1311B,P1Y,XDC,6,GFSR,116.4,61.4,25.2,78,130.2,261.6,220.5,62.8,216,135,161,199.2,316.5,362.7,618.3,444,489.2,321.9,454.1,2781.1,3744.4,3607.2,2397.8,2602.5,406.3,1196.1,333.39,
W0_S1_G13,A,A|CL|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CL,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,3.77,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|PW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,PW,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,46397.633,41913.633,49768.326,45950.561,48279.007,42049.444,47302.445,43835.333,49251.321,
W0_S1_G13,A,A|UG|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,UG,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,397.7,406.936291222,586.04464258488,1448.72321362716,1286.47187808,1269.11281424,1147.42435743634,1177.11874301118,895.6,733.223188538292,738.481658401722,884.809005711474,1093.29888486312,890.502064507041,1129.25317561354,936.181,702.487644142436,930.808889875368,1147.20911433931,
W0_S1_G13,A,A|FI|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,FI,S1311B,P1Y,XDC,6,GFSR,295.337998866413,330.321087570408,427.197333212238,152.210073447667,136.064032507362,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|AI|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,AI,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,9760,6170,2050,2650,1522.388,4418.125,14787.957,0,9185.31109,0,33834.695,0,11639.69,15723.41,14819.015,,,
W0_S1_G13,A,A|BR|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BR,S1311B,P1Y,XDC,9,GFSR,2.61818181818182E-06,3.67272727272727E-06,5.26545454545455E-05,0.00116363636363636,0.1252,,,0.0063,0.0614,,,,,,,,,,,,0.2926404888,0.47353590505,0.64686694856,0.41754594571,0.51270628489,0.55863674392,0.64014305987,
W0_S1_G13,A,A|PT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,PT,S1311B,P1Y,XDC,6,GFSR,264.861683343143,213.9842978422,359.633283786076,256.382119092986,175.576859767959,,,,,,,,,,,,,,141.211,277.752,131.115,58.258,81.93,121.111,118.123,119.711,107.704,
W0_S1_G13,A,A|LA|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LA,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,1269.18,1143.17,3562,3708.8,4564.65,4912.72,5169.55,5323.5,1920.548458,
